TEST_NAME_ABBREVIATION	stringdist_group_id	position_in_group	group_size
-abcg2	1	1	136
-ctr-d	1	2	136
-fishhyb	1	3	136
ab-heräpak	1	4	136
ab-hkr	1	5	136
ab-tehopak	1	6	136
ab-temp	1	7	136
ab-vkteho	1	8	136
ab-vktemp	1	9	136
b-6-me-mp	1	10	136
b-6-tgn	1	11	136
b-apoe-d	1	12	136
b-aptem	1	13	136
b-aso2-qd	1	14	136
b-atrytyd	1	15	136
b-auria10	1	16	136
b-bcr-qr	1	17	136
b-blapcr	1	18	136
b-bnp-v	1	19	136
b-bo3-d	1	20	136
b-brcay-d	1	21	136
b-brovcore	1	22	136
b-c/epi	1	23	136
b-calr-d	1	24	136
b-cmlpcr	1	25	136
b-crco	1	26	136
b-crcoti	1	27	136
b-dm2alld	1	28	136
b-dpyd-d	1	29	136
b-dpydl-d	1	30	136
b-elinkim	1	31	136
b-everoli	1	32	136
b-everoms	1	33	136
b-exkon-d	1	34	136
b-extem	1	35	136
b-extri-d	1	36	136
b-farma-d	1	37	136
b-farml-d	1	38	136
b-fibtem	1	39	136
b-fii-d	1	40	136
b-finngen	1	41	136
b-fishhem	1	42	136
b-frax-d	1	43	136
b-fuus-mr	1	44	136
b-fv-d	1	45	136
b-fvfii-d	1	46	136
b-heptem	1	47	136
b-hfe-d	1	48	136
b-hkr	1	49	136
b-hkr.fol	1	50	136
b-hkrp	1	51	136
b-hnpcy-d	1	52	136
b-igshm	1	53	136
b-intem	1	54	136
b-jak2-d	1	55	136
b-kim-d	1	56	136
b-kim-fd	1	57	136
b-kml-qr	1	58	136
b-lakt-d	1	59	136
b-ldlre-4	1	60	136
b-ldlre-d	1	61	136
b-ngs-d	1	62	136
b-nphs1-d	1	63	136
b-nrbc	1	64	136
b-p2y12	1	65	136
b-pcr-kim	1	66	136
b-peth	1	67	136
b-pgx-d	1	68	136
b-pnh-la	1	69	136
b-pnhfc	1	70	136
b-pyruv	1	71	136
b-rdw	1	72	136
b-rethe	1	73	136
b-retik	1	74	136
b-retind	1	75	136
b-retlnd	1	76	136
b-rotem	1	77	136
b-sekvy-d	1	78	136
b-tacro	1	79	136
b-tacrolimus	1	80	136
b-tacroms	1	81	136
b-tem	1	82	136
b-temp	1	83	136
b-tni-v	1	84	136
b-tni-vt	1	85	136
b-tnt	1	86	136
b-tnt-	1	87	136
