relationship_id	n_rows
Is a	221648
Mapped from	169355
Maps to	102825
Has component	82155
Has property	73157
Has scale type	69097
Has time aspect	68709
Has system	68106
Subsumes	65100
Has Answer	63917
Has method	42100
Variable to Schema	28888
Panel contains	26287
Has Module	25842
Has status	25806
Contained in panel	25383
Interprets of	12715
Concept same_as from	10408
Concept replaces	4590
Inheres in	4073
Has direct site	3689
Has specimen	3155
Has interprets	2954
Has parent item	2510
Concept poss_eq from	2316
LOINC - CPT4 eq	1895
SNOMED - CPT4 eq	1873
Has technique	1604
CPT4 - LOINC eq	1570
Has interpretation	1558
SNOMED cat - CPT4	1361
Has start date	1268
CPT4 - SNOMED eq	906
Concept was_a from	761
Has finding site	695
CPT4 - SNOMED cat	685
Characterizes	558
Has dir proc site	535
Asso proc of	433
Technique of	411
Has inherent loc	400
Relative to	380
Has intent	347
Has permiss range	343
Using device	321
Has focus	300
Precoord pair of	288
Has precoord pair	281
Focus of	253
Value mapped from	234
Has type	177
Has proc site	173
Has unit	164
Has occurrence	106
Using subst	74
Concept alt_to from	71
Towards	47
Asso finding of	39
Has proc duration	37
Has precondition	36
Process acts on	35
Due to of	33
Has property type	32
Has indir proc site	29
Is characterized by	24
Has end date	23
Has process output	23
Has dir subst	19
Has measurement	17
Finding method of	11
Manifestation of	9
Using energy	8
Measurement of	8
Process extends to	7
Has relative part	6
Using finding method	5
Has variant	4
Has causative agent	3
Has access	3
Asso with finding	2
Has route of admin	2
Has asso visit	2
Has surgical appr	1
Follows	1
Specimen proc of	1
Pathology of	1
Using acc device	1
Has dir device	1
Followed by	1
